download_count,project
6123779,"jaydebeapi"
6120878,"nh3"
6087486,"slicer"
6082361,"azure-mgmt-loganalytics"
6078472,"types-protobuf"
6077691,"geopandas"
6074963,"validators"
6057044,"yapf"
6049915,"azure-mgmt-cdn"
6038113,"ddtrace"
6023638,"py-cpuinfo"
6019602,"azure-mgmt-trafficmanager"
6014551,"sqlalchemy-bigquery"
6012246,"grpcio-gcp"
6008198,"leather"
6005752,"azure-mgmt-marketplaceordering"
6002417,"azure-mgmt-devtestlabs"
5993771,"qtpy"
5979593,"azure-mgmt-eventhub"
5977497,"junit-xml"
5969500,"azure-mgmt-recoveryservicesbackup"
5924681,"google-cloud-speech"
5922263,"nvidia-cublas-cu11"
5911058,"azure-mgmt-iothub"
5908929,"nvidia-cudnn-cu11"
5905386,"unicodecsv"
5897960,"dbt-extractor"
5854645,"sklearn"
5844131,"azure-mgmt-search"
5842562,"pydot"
5834092,"azure-mgmt-cognitiveservices"
5831034,"lazy-loader"
5827235,"phonenumbers"
5812508,"azure-mgmt-servicefabric"
5808646,"azure-storage-file-share"
5807470,"azure-mgmt-managementgroups"
5795167,"pyserial"
5783885,"google-cloud-texttospeech"
5766300,"pytest-rerunfailures"
5760914,"azure-mgmt-eventgrid"
5759453,"azure-mgmt-applicationinsights"
5758546,"apache-airflow-providers-common-io"
5755750,"edgegrid-python"
5751290,"types-awscrt"
5741080,"fiona"
5736308,"azure-mgmt-datafactory"
5729188,"apache-airflow-providers-smtp"
5728242,"opencv-python-headless"
5710241,"azure-mgmt-billing"
5710188,"azure-mgmt-advisor"
5706113,"nvidia-cuda-runtime-cu11"
5704030,"azure-mgmt-media"
5696878,"azure-mgmt-iothubprovisioningservices"
5688910,"kfp"
5687981,"azure-mgmt-batchai"
5684530,"azure-mgmt-policyinsights"
5667781,"azure-mgmt-iotcentral"
5667568,"nvidia-cuda-nvrtc-cu11"
5664742,"partd"
5661389,"azure-mgmt-datamigration"
5659714,"azure-mgmt-maps"
5652877,"opentelemetry-util-http"
5620481,"typed-ast"
5618391,"xarray"
5618303,"ddsketch"
5615053,"types-setuptools"
5601293,"pipx"
5598722,"python-docx"
5598019,"flask-wtf"
5581693,"inflect"
5566325,"flask-login"
5541381,"python-gitlab"
5539554,"locket"
5532776,"azure-appconfiguration"
5524023,"gcloud-aio-storage"
5515635,"types-urllib3"
5508121,"sqlalchemy-utils"
5489507,"pyotp"
5488088,"python-levenshtein"
5475923,"jupyter-console"
5454990,"databricks-sdk"
5432187,"geoip2"
5403965,"pydantic-settings"
5397666,"fastparquet"
5387659,"gcloud-aio-auth"
5371599,"slackclient"
5367366,"marisa-trie"
5347555,"iso8601"
5341211,"google-cloud-compute"
5324594,"bytecode"
5314394,"wtforms"
5291078,"jupyter"
5240589,"apache-airflow-providers-sqlite"
5237675,"ansible"
5212887,"starkbank-ecdsa"
5195105,"tensorboard-plugin-wit"
5186218,"methodtools"
5171554,"langchain-text-splitters"
5165049,"apache-airflow-providers-ftp"
5159295,"gcloud-aio-bigquery"
5146127,"crcmod"
5141172,"geographiclib"
5131090,"types-pytz"
5123684,"cloudpathlib"
5121830,"netaddr"
5112166,"psycopg"
5098146,"types-s3transfer"
5089589,"geopy"
5083368,"ftfy"
5079694,"more-executors"
5079627,"ansible-core"
5063856,"fastpurge"
5045531,"azure-eventhub"
5031887,"django-cors-headers"
5022703,"dbt-semantic-interfaces"
5022561,"lark"
5002810,"connexion"
4975746,"pytorch-lightning"
4957875,"cron-descriptor"
4953603,"dacite"
4953371,"language-data"
4917951,"onnx"
4882971,"envier"
4881548,"jax"
4870038,"azure-cli-telemetry"
4848830,"maxminddb"
4844109,"mlflow-skinny"
4843530,"azure-loganalytics"
4843403,"pyhcl"
4836498,"diskcache"
4824322,"azure-keyvault-certificates"
4813842,"wirerope"
4812291,"cachelib"
4797219,"azure-mgmt-datalake-analytics"
4772178,"uamqp"
4768015,"azure-multiapi-storage"
4734719,"magicattr"
4734356,"timm"
4728338,"distributed"
4726557,"javaproperties"
4722480,"apache-airflow-providers-slack"
4706821,"hyperlink"
4700093,"azure-mgmt-apimanagement"
4679026,"azure-synapse-artifacts"
4674349,"limits"
4672865,"pathy"
4670415,"junitparser"
4642317,"apache-airflow-providers-imap"
4642024,"torchmetrics"
4623122,"marshmallow-sqlalchemy"
4622309,"flask-caching"
4619832,"azure-mgmt-consumption"
4604010,"requests-mock"
4603440,"pyee"
4602379,"azure-mgmt-relay"
4596810,"chex"
4592788,"prometheus-flask-exporter"
4584592,"marshmallow-enum"
4582579,"opentelemetry-instrumentation-asgi"
4545481,"torchaudio"
4542090,"azure-mgmt-hdinsight"
4542015,"keras-applications"
4525575,"frozendict"
4516809,"faiss-cpu"
4514895,"keras-preprocessing"
4504565,"pypdf"
4499957,"google-cloud"
4492180,"requests-ntlm"
4483539,"awscrt"
4458543,"statsd"
4445599,"azure-mgmt-reservations"
4444751,"mergedeep"
4442696,"azure-mgmt-security"
4435724,"gradio-client"
4420434,"jellyfish"
4402232,"flask-jwt-extended"
4391402,"pyaml"
4388249,"pydub"
4386156,"opentelemetry-instrumentation-fastapi"
4382110,"azure-mgmt-privatedns"
4368880,"azure-mgmt-kusto"
4358539,"azure-synapse-spark"
4354374,"events"
4352889,"pathlib"
4352204,"rich-argparse"
4350249,"tensorflow-metadata"
4349489,"mypy-boto3-appflow"
4336612,"azure-mgmt-redhatopenshift"
4326368,"setuptools-rust"
4324503,"pika"
4313888,"linkify-it-py"
4311165,"azure-mgmt-managedservices"
4309753,"azure-mgmt-netapp"
4306815,"logbook"
4304013,"azure-keyvault-administration"
4303647,"azure-mgmt-servicelinker"
4296398,"pytest-split"
4295555,"autopep8"
4294963,"azure-mgmt-servicefabricmanagedclusters"
4294724,"userpath"
4289752,"azure-mgmt-imagebuilder"
4272293,"h3"
4270133,"azure-kusto-data"
4259715,"azure-mgmt-synapse"
4244160,"azure-mgmt-appconfiguration"
4240511,"azure-mgmt-sqlvirtualmachine"
4239059,"natsort"
4226834,"azure-mgmt-botservice"
4225597,"reportlab"
4217578,"azure-synapse-accesscontrol"
4212480,"pytest-forked"
4207439,"uc-micro-py"
4206227,"azure-mgmt-databoxedge"
4205674,"azure-synapse-managedprivateendpoints"
4198821,"azure-mgmt-extendedlocation"
4194136,"asyncio"
4183420,"optax"
4172628,"convertdate"
4154733,"bracex"
4153680,"cerberus"
4149389,"google-re2"
4146287,"constructs"
4143341,"oracledb"
4117597,"mmh3"
4115824,"elasticsearch-dsl"
4109513,"lightning-utilities"
4104605,"configargparse"
4099633,"dm-tree"
4094758,"spark-nlp"
4090166,"flask-limiter"
4050271,"django-filter"
4035336,"nbclassic"
4022598,"apache-airflow-providers-amazon"
4009436,"azure-devops"
4002208,"gensim"
3997815,"minimal-snowplow-tracker"
3982046,"commonmark"
3977468,"ua-parser"
3966779,"openapi-spec-validator"
3958898,"swagger-ui-bundle"
3945196,"aws-lambda-powertools"
3941758,"pydash"
3937706,"ipaddress"
3937389,"cloudevents"
3927852,"cx-oracle"
3925299,"tf-keras"
3904562,"aws-xray-sdk"
3902735,"pdfminer-six"
3898689,"webdriver-manager"
3884112,"incremental"
3876370,"dpath"
3876015,"grpcio-health-checking"
3869554,"jsonlines"
3863511,"sentence-transformers"
3852102,"tensorflow-hub"
3848290,"ldap3"
3820806,"binaryornot"
3811117,"stringcase"
3806024,"boltons"
3793866,"cookiecutter"
3786083,"sphinx-rtd-theme"
3779550,"twisted"
3777712,"azure-cosmosdb-table"
3775296,"streamlit"
3772192,"cog"
3755190,"editables"
3754239,"kfp-pipeline-spec"
3748482,"async-generator"
3735797,"mkdocs-material"
3728217,"korean-lunar-calendar"
3713519,"tableauserverclient"
3703308,"dbt-snowflake"
3687794,"passlib"
3680583,"bokeh"
3665352,"pgpy"
3649595,"xlwt"
3645395,"functions-framework"
3626297,"urllib3-secure-extra"
3625592,"bandit"
3622261,"pyperclip"
3615851,"numexpr"
3602317,"azure-cosmosdb-nspkg"
3593961,"orderedmultidict"
3584352,"rdflib"
3569685,"eth-account"
