download_count,project
41575770,"graphene"
41392726,"nvidia-curand"
41352095,"pyarrow-hotfix"
41232735,"google-cloud-firestore"
41161286,"ordered-set"
41051413,"trio-websocket"
40969208,"google-ads"
40863625,"aioboto3"
40789011,"cohere"
40553934,"google-cloud-bigquery-storage"
40534632,"envier"
40372424,"yamllint"
40286862,"strenum"
40220254,"diskcache"
40171416,"pycountry"
40109653,"nvidia-cuda-runtime"
40056552,"appdirs"
39749945,"types-pytz"
39708100,"aenum"
39687098,"passlib"
39652273,"weasyprint"
39599918,"fastar"
39574208,"coloredlogs"
39517094,"mashumaro"
39457829,"nvidia-cuda-cupti"
39433122,"ty"
39424988,"boolean-py"
39385607,"license-expression"
39262205,"pyroaring"
39207262,"azure-mgmt-core"
39166216,"llama-index-llms-openai"
39008962,"notebook-shim"
38976413,"nvidia-cufile"
38941339,"pyiceberg"
38916606,"jupyter-lsp"
38767974,"nvidia-nvtx"
38754338,"phonenumbers"
38737083,"patsy"
38726681,"pyotp"
38714729,"html5lib"
38692760,"retrying"
38689402,"llama-index-indices-managed-llama-cloud"
38594183,"stevedore"
38532719,"tldextract"
38466157,"delta-spark"
38109958,"json-repair"
37957069,"elastic-transport"
37929135,"entrypoints"
37817760,"supabase"
37748285,"retry"
37744755,"databricks-sqlalchemy"
37722336,"flit-core"
37698453,"rfc3987-syntax"
37402186,"curl-cffi"
37377358,"azure-storage-queue"
37346291,"oauth2client"
37263239,"aiohttp-retry"
37198883,"azure-storage-file-datalake"
37103634,"storage3"
36967811,"postgrest"
36933262,"tox"
36627057,"eval-type-backport"
36363196,"zopfli"
36352430,"twine"
36172755,"strands-agents"
36118188,"lmnr"
36116003,"ml-dtypes"
36101076,"snowballstemmer"
36034984,"pybreaker"
35934348,"langchain-google-vertexai"
35835544,"scikit-image"
35721532,"cyclonedx-python-lib"
35593280,"pgvector"
35582256,"sentencepiece"
35518377,"pyphen"
35516275,"semgrep"
35417165,"mergedeep"
35249000,"pytest-metadata"
35215310,"packageurl-python"
35205039,"openai-agents"
35034666,"parsedatetime"
34985061,"agate"
34977368,"universal-pathlib"
34789130,"ujson"
34782084,"hyperlink"
34689918,"cramjam"
34506071,"agent-client-protocol"
34473624,"pandas-gbq"
34431432,"id"
34429527,"py-serializable"
34236438,"pytimeparse"
34170583,"types-setuptools"
34113164,"crc32c"
33939429,"supabase-auth"
33907675,"supabase-functions"
33538693,"zope-event"
33319270,"events"
33168445,"lockfile"
33021838,"simple-salesforce"
32892422,"mock"
32800766,"tblib"
32788142,"unidecode"
32651920,"psycopg-pool"
32433880,"griffe"
32406683,"testcontainers"
32246245,"uv-build"
32231023,"hvac"
32230082,"av"
32210957,"pydyf"
32143765,"dbt-protos"
32093369,"lazy-loader"
31730124,"imagesize"
31716922,"pip-requirements-parser"
31710317,"validators"
31561361,"inflect"
31485597,"strictyaml"
31412966,"flask-sqlalchemy"
31374110,"clickhouse-connect"
31324856,"lupa"
31162222,"tree-sitter-languages"
31077459,"ninja"
30823118,"click-option-group"
30749529,"python-magic"
30666742,"pbr"
30660848,"holidays"
30630482,"google-cloud-dataplex"
30628049,"msrestazure"
30596728,"sentence-transformers"
30533299,"sphinxcontrib-serializinghtml"
30438482,"google-cloud-alloydb"
30412282,"temporalio"
30396617,"alabaster"
30340726,"dask"
30203813,"claude-agent-sdk"
30193723,"google-pasta"
30122342,"youtube-transcript-api"
29968697,"soundfile"
29879393,"bidict"
29768450,"einops"
29672883,"pybind11"
29672055,"streamlit"
29553745,"tifffile"
29502842,"deltalake"
29422261,"hiredis"
29396241,"lightgbm"
29395198,"socksio"
29388766,"opentelemetry-instrumentation-sqlalchemy"
29381392,"tinyhtml5"
29307657,"sqlalchemy-utils"
29298536,"python-http-client"
29298212,"swebench"
29274720,"llama-cloud"
